| Epoch: 197/2390 (408/408) | Loss: 5.7302 | 0.6 steps/s | Step: 105k | 
| Epoch: 198/2390 (408/408) | Loss: 5.6073 | 0.6 steps/s | Step: 105k | 
| Epoch: 199/2390 (408/408) | Loss: 5.6623 | 0.6 steps/s | Step: 106k | 
| Epoch: 200/2390 (408/408) | Loss: 5.6071 | 0.6 steps/s | Step: 106k | 
| Epoch: 201/2390 (408/408) | Loss: 5.6037 | 0.6 steps/s | Step: 106k | 
| Epoch: 202/2390 (408/408) | Loss: 5.8354 | 0.6 steps/s | Step: 107k | 
| Epoch: 203/2390 (408/408) | Loss: 5.6306 | 0.6 steps/s | Step: 107k | 
| Epoch: 204/2390 (408/408) | Loss: 5.6427 | 0.6 steps/s | Step: 108k | 
| Epoch: 205/2390 (408/408) | Loss: 5.7024 | 0.6 steps/s | Step: 108k | 
| Epoch: 206/2390 (408/408) | Loss: 5.5894 | 0.6 steps/s | Step: 108k | 
| Epoch: 207/2390 (408/408) | Loss: 5.6992 | 0.6 steps/s | Step: 109k | 
| Epoch: 208/2390 (408/408) | Loss: 5.6527 | 0.6 steps/s | Step: 109k | 
| Epoch: 209/2390 (408/408) | Loss: 5.5940 | 0.6 steps/s | Step: 110k | 
| Epoch: 210/2390 (408/408) | Loss: 5.5948 | 0.6 steps/s | Step: 110k | 
| Epoch: 211/2390 (408/408) | Loss: 5.7254 | 0.6 steps/s | Step: 110k | 
| Epoch: 212/2390 (408/408) | Loss: 5.7465 | 0.6 steps/s | Step: 111k | 
| Epoch: 213/2390 (408/408) | Loss: 5.6503 | 0.6 steps/s | Step: 111k | 
| Epoch: 214/2390 (408/408) | Loss: 5.5820 | 0.6 steps/s | Step: 112k | 
| Epoch: 215/2390 (408/408) | Loss: 5.6275 | 0.6 steps/s | Step: 112k | 
| Epoch: 216/2390 (408/408) | Loss: 5.8413 | 0.6 steps/s | Step: 113k | 
| Epoch: 217/2390 (408/408) | Loss: 5.7056 | 0.6 steps/s | Step: 113k | 
| Epoch: 218/2390 (408/408) | Loss: 5.9411 | 0.6 steps/s | Step: 113k | 
| Epoch: 219/2390 (408/408) | Loss: 5.6391 | 0.6 steps/s | Step: 114k | 
| Epoch: 220/2390 (408/408) | Loss: 5.5860 | 0.6 steps/s | Step: 114k | 
| Epoch: 221/2390 (408/408) | Loss: 5.6065 | 0.6 steps/s | Step: 115k | 
| Epoch: 222/2390 (408/408) | Loss: 5.6960 | 0.6 steps/s | Step: 115k | 
| Epoch: 223/2390 (408/408) | Loss: 5.7403 | 0.6 steps/s | Step: 115k | 
| Epoch: 224/2390 (408/408) | Loss: 5.5889 | 0.6 steps/s | Step: 116k | 
| Epoch: 225/2390 (408/408) | Loss: 5.5841 | 0.6 steps/s | Step: 116k | 
| Epoch: 226/2390 (408/408) | Loss: 5.5906 | 0.6 steps/s | Step: 117k | 
| Epoch: 227/2390 (408/408) | Loss: 5.7533 | 0.6 steps/s | Step: 117k | 
